human	macaque	mouse
ASPDH	ASPDH	Aspdh
NDUFA9	None	Ndufa9
AHSA2	None	Ahsa2
PRSS45	None	Prss45
CCND2	None	Ccnd2
APIP	APIP	Apip
CD274	CD274	Cd274
RPH3AL	None	Rph3al
OR52E5	None	Olfr678
PRNP	PRNP	Prnp
TMEM231	None	Tmem231
C14orf166	C14orf166	None
MRPL46	MRPL46	Mrpl46
EIF4E2	EIF4E2	Eif4e2
CENPO	CENPO	Cenpo
None	C19orf52	None
TRIM52	TRIM52	Trim52
REEP4	REEP4	Reep4
LIME1	LIME1	Lime1
MIP	MIP	Mip
KCTD14	KCTD14	Kctd14
CNTD2	None	None
MYF6	MYF6	Myf6
DERL1	None	Derl1
SLAMF1	SLAMF1	Slamf1
GCH1	GCH1	Gch1
SFN	SFN	Sfn
C2orf73	None	None
ALYREF	ALYREF	Alyref
UBB	UBC	Ubb
CD200	CD200	Cd200
STX4	None	Stx4a
MAPK1IP1L	MAPK1IP1L	Mapk1ip1l
KRCC1	KRCC1	Krcc1
PSG4	None	None
HOXB8	HOXB8	Hoxb8
CA13	CA13	Car13
OCSTAMP	None	Ocstamp
IGFBPL1	IGFBPL1	Igfbpl1
TP53I3	TP53I3	None
KCTD6	KCTD6	Kctd6
PSME1	PSME1	Psme1
FGF13	FGF13	Fgf13
PCGF5	PCGF5	Pcgf5
CTDNEP1	None	Ctdnep1
CCDC137	CCDC137	Ccdc137
None	None	Olfr654
TPI1	TPI1	Tpi1
BIN3	BIN3	Bin3
XRCC6BP1	XRCC6BP1	Xrcc6bp1
SPIB	SPIB	Spib
SPIC	SPIC	Spic
RSRP1	C1orf63	Rsrp1
LY6G6F	None	Ly6g6f
VAPB	VAPB	Vapb
HDHD2	HDHD2	Hdhd2
CER1	CER1	Cer1
RNF166	RNF166	Rnf166
PSMA7	PSMA7	Psma7
CENPVP2	None	None
EFNA3	EFNA3	Efna3
C3orf62	C3orf62	None
SNRPB	SNRPB	Snrpb
STX10	STX10	None
APOBEC3G	APOBEC3F	None
OR1L4	None	Olfr364-ps1
OR10J5	None	Olfr16
PIK3IP1	PIK3IP1	Pik3ip1
OR2AG1	OR2AG1	Olfr705
OR1D2	None	Olfr412
OR4P4	None	Olfr1192-ps1
MAGEA6	None	None
MRPL47	MRPL47	Mrpl47
CDCA8	CDCA8	Cdca8
KCNMB2	KCNMB2	Kcnmb2
PGAP2	PGAP2	Pgap2
ZNF80	ZNF80	None
DCUN1D5	DCUN1D5	Dcun1d5
ATP6V1D	ATP6V1D	Atp6v1d
PABPN1L	PABPN1L	Pabpn1l
IAH1	IAH1	Iah1
ERP29	ERP29	Erp29
CYB5R3	CYB5R3	Cyb5r3
ZNF705A	None	None
VGLL1	VGLL1	Vgll1
SLC25A41	SLC25A41	Slc25a41
OR52N1	None	Olfr664
RWDD1	RWDD1	Rwdd1
TFPT	TFPT	Tfpt
C5orf15	C5orf15	None
POM121L1P	None	None
PRR32	None	Prr32
OR6C76	None	Olfr809
PLSCR5	PLSCR5	Plscr5
GTF2F2	GTF2F2	Gtf2f2
UBE2R2	UBE2R2	Ube2r2
DUSP12	None	Dusp12
MED6	MED6	Med6
FAM216A	FAM216A	Fam216a
EXOSC4	EXOSC4	Exosc4
SYPL1	SYPL1	Sypl
FAM228B	FAM228B	None
CYB5D2	CYB5D2	Cyb5d2
GNRHR2	None	None
NOL7	NOL7	Nol7
DPH6	None	Dph6
COX11	COX11	Cox11
TNFSF15	TNFSF15	Tnfsf15
MED19	MED19	Med19
NANP	NANP	Nanp
SOX14	None	Sox14
TAS2R16	TAS2R16	Tas2r118
IZUMO1R	None	Izumo1r
MPZ	MPZ	Mpz
KLF9	KLF9	Klf9
RNASET2	RNASET2	Rnaset2a
YIPF1	None	Yipf1
PSMA5	PSMA5	Psma5
None	U2AF1	U2af1
ZFP42	ZFP42	Zfp42
TBCB	TBCB	Tbcb
PTGR1	None	Ptgr1
HRASLS5	None	Hrasls5
SPIN2A	None	None
TAS2R50	TAS2R50	Tas2r120
N4BP2L1	N4BP2L1	N4bp2l1
OR13C7	None	Olfr155
PSMA8	PSMA8	Psma8
SNRPN	SNRPN	Snrpn
YWHAH	None	Ywhah
PRDX3	PRDX3	Prdx3
C1orf111	None	None
CD63	CD63	Cd63
ELOVL3	ELOVL3	Elovl3
TMEM119	TMEM119	Tmem119
VAPA	None	Vapa
RPS3	RPS3	Rps3
CCDC121	CCDC121	Ccdc121
SNRNP35	SNRNP35	Snrnp35
TAAR8	None	Taar8b
MAF1	MAF1	Maf1
PGLS	PGLS	Pgls
SRD5A3	SRD5A3	Srd5a3
CELA3B	CELA3B	Cela3b
FAM133B	FAM133B	Fam133b
UQCRFS1	UQCRFS1	Uqcrfs1
SRSF7	SRSF7	Srsf7
HOXC6	HOXC6	Hoxc6
CRYL1	CRYL1	Cryl1
RSG1	None	Rsg1
OR10G3	None	Olfr1512
PDXP	None	Pdxp
BDH2	BDH2	Bdh2
EMC7	EMC7	Emc7
SSPN	SSPN	Sspn
RPL7	RPL7	Rpl7
FAM131C	FAM131C	Fam131c
TMEM51	TMEM51	Tmem51
None	None	Olfr433
STX12	None	Stx12
AMACR	None	Amacr
INHBE	INHBE	Inhbe
EGLN3	EGLN3	Egln3
None	None	None
RWDD3	RWDD3	Rwdd3
KLK6	KLK6	Klk6
NPL	NPL	Npl
CA1	CA1	Car1
MDFIC	MDFIC	Mdfic
CACNG6	CACNG6	Cacng6
CCDC127	CCDC127	Ccdc127
YIPF4	YIPF4	Yipf4
TSPAN3	TSPAN3	Tspan3
C1orf74	C1orf74	None
LAPTM5	LAPTM5	Laptm5
METTL21C	METTL21C	Mettl21c
CABP4	CABP4	Cabp4
OR2B2	None	Olfr1359
OR56A3	None	Olfr681
OR2A5	OR2A5	Olfr448
MARCH2	None	None
SULT2A1	SULT2A1	Sult2a2
HOXD4	HOXD4	Hoxd4
SIX6	SIX6	Six6
MRRF	MRRF	Mrrf
OR51B6	None	Olfr65
LILRB4	LILRB4	None
TAS2R42	None	Tas2r131
MTNR1B	None	Mtnr1b
OR13D1	None	Olfr270
NUCKS1	NUCKS1	Nucks1
YWHAB	YWHAB	Ywhab
PMM2	PMM2	Pmm2
SNRPA1	SNRPA1	Snrpa1
APOA1	APOA1	Apoa1
LIN28B	LIN28B	Lin28b
CLIC2	CLIC2	None
GIPC3	None	Gipc3
CISH	CISH	Cish
PHOSPHO2	PHOSPHO2	Phospho2
ICOSLG	ICOSLG	Icosl
IRAK1BP1	IRAK1BP1	Irak1bp1
TMEM127	TMEM127	Tmem127
OR11H6	None	Olfr745
ATF5	ATF5	Atf5
FAM57A	None	Fam57a
ABHD11	ABHD11	Abhd11
FGF14	FGF14	Fgf14
SHISA3	SHISA3	Shisa3
PSG3	None	None
C1orf131	None	None
C1QTNF5	C1QTNF5	C1qtnf5
ECI1	ECI1	Eci1
LRRC18	LRRC18	Lrrc18
MEOX1	MEOX1	Meox1
MPDU1	MPDU1	Mpdu1
ETHE1	ETHE1	Ethe1
CREG2	CREG2	Creg2
SYNDIG1	SYNDIG1	Syndig1
RASL11A	RASL11A	Rasl11a
R3HDML	R3HDML	R3hdml
PMM1	None	Pmm1
NAA40	None	Naa40
LRRC3	LRRC3	Lrrc3
BRI3BP	BRI3BP	Bri3bp
MRPL28	MRPL28	Mrpl28
HSD17B10	HSD17B10	Hsd17b10
MITD1	MITD1	Mitd1
RNF32	RNF32	Rnf32
CCDC152	CCDC152	Ccdc152
OR51A7	None	Olfr576
UBTD2	UBTD2	Ubtd2
ENKUR	ENKUR	Enkur
PDC	PDC	Pdc
TMEM106A	TMEM106A	Tmem106a
NGF	NGF	Ngf
SMNDC1	SMNDC1	Smndc1
CLIC1	CLIC1	Clic1
PSTK	PSTK	Pstk
WISP2	None	Wisp2
OR10S1	None	Olfr982
KRTAP10-1	None	Gm9736
PNO1	PNO1	Pno1
PHOSPHO1	PHOSPHO1	Phospho1
GOSR1	None	Gosr1
PLEKHB1	PLEKHB1	Plekhb1
C12orf5	None	None
RPP38	RPP38	Rpp38
SETSIP	None	None
DPM1	DPM1	Dpm1
C5orf51	None	None
KLK15	KLK15	Klk15
NOG	NOG	Nog
OR10C1	None	Olfr95
KCNRG	KCNRG	Kcnrg
SLA2	SLA2	Sla2
TK2	TK2	Tk2
APH1B	APH1B	Aph1b
MAP10	None	Map10
RRP36	RRP36	Rrp36
BTLA	BTLA	Btla
HMGN5	HMGN5	Hmgn5
FGF23	FGF23	Fgf23
OR13J1	OR13J1	Olfr71
SPATA9	SPATA9	Spata9
BEAN1	BEAN1	Bean1
SLAMF6	SLAMF6	Slamf6
GCNT2	GCNT2	Gcnt2
RNF187	RNF187	Rnf187
HLA-C	None	H2-Q2
TAS2R43	None	Tas2r136
NTHL1	NTHL1	Nthl1
DERL2	DERL2	Derl2
CCDC172	CCDC172	Ccdc172
VWC2L	VWC2L	Vwc2l
RPL7L1	RPL7L1	Rpl7l1
IL2RA	None	Il2ra
RNF141	RNF141	Rnf141
C3orf80	C3orf80	None
CHTOP	CHTOP	Chtop
OTUB2	OTUB2	Otub2
ERP27	ERP27	Erp27
OR4X2	None	Olfr1269
None	C4BPA	Zp3r
RAB33A	RAB33A	Rab33a
SCAMP5	None	Scamp5
PCGF3	PCGF3	None
EQTN	EQTN	Eqtn
RFPL4A	RFPL4A	Rfpl4
C7orf57	None	Gm11992
SPR	SPR	Spr
SPINT2	SPINT2	Spint2
NAT2	NAT2	None
LAPTM4A	LAPTM4A	Laptm4a
MRPL16	MRPL16	Mrpl16
AREG	AREG	Areg
RCAN3	RCAN3	Rcan3
SKA1	SKA1	Ska1
DIO1	DIO1	Dio1
PPP1R36	None	Ppp1r36
TEX33	TEX33	Tex33
PAGR1	PAGR1	Pagr1a
TMUB1	TMUB1	Tmub1
BCAP31	BCAP31	Bcap31
LRRC3C	LRRC3C	None
MED7	MED7	Med7
SHD	SHD	Shd
TAS2R13	TAS2R13	Tas2r121
FKBP6	None	Fkbp6
ND1	None	None
C6orf62	C6orf62	None
DLX4	DLX4	Dlx4
TSPAN11	TSPAN11	Tspan11
OR52E8	None	Olfr671
CCDC94	None	Ccdc94
FAM133A	FAM133A	None
OR1N1	None	Olfr351
IL33	IL33	Il33
UTP23	UTP23	Utp23
EEF1D	None	Eef1d
HSD17B8	HSD17B8	H2-Ke6
GBGT1	None	Gbgt1
FAM166B	FAM166B	Fam166b
None	None	None
TMEM219	TMEM219	Tmem219
TAS2R8	TAS2R8	None
TMEM189	None	Tmem189
PECR	PECR	Pecr
REXO2	REXO2	Rexo2
OR1F12	None	Olfr1366
EFHD2	EFHD2	Efhd2
PSMA2	PSMA2	Psma2
FEV	FEV	Fev
TAF9	None	Taf9
STARD3NL	STARD3NL	Stard3nl
OR52E2	None	Olfr589
IGHA1	None	Igha
MBLAC1	MBLAC1	Mblac1
ELP6	ELP6	Elp6
STYXL1	STYXL1	Styxl1
IL21R	None	Il21r
MMD2	MMD2	Mmd2
OCIAD1	OCIAD1	Ociad1
TP53INP1	TP53INP1	Trp53inp1
TNFRSF9	TNFRSF9	Tnfrsf9
ODF3B	ODF3B	Odf3b
UPK1A	UPK1A	Upk1a
OR8B12	None	Olfr874
SERPINA13P	None	None
EIF6	None	Eif6
PCSK1N	PCSK1N	Pcsk1n
HVCN1	HVCN1	Hvcn1
MICB	None	Mill2
TWSG1	None	Twsg1
ZMYND19	ZMYND19	Zmynd19
TIMMDC1	TIMMDC1	Timmdc1
DOLPP1	DOLPP1	Dolpp1
C8orf74	None	None
RASL11B	RASL11B	Rasl11b
TP53RK	TP53RK	Trp53rk
AQP12B	None	Aqp12
OR10G4	None	Olfr980
CCNO	None	Ccno
LOR	None	Lor
LIN7A	LIN7A	Lin7a
None	None	None
CLEC1A	CLEC1A	Clec1a
AQP8	AQP8	Aqp8
SRD5A2	SRD5A2	Srd5a2
ODAM	ODAM	Odam
GSTO2	GSTO2	Gsto2
OR2H1	None	Olfr91
HACD4	PTPLAD2	Ptplad2
OTUD6B	None	Otud6b
ANKRD49	ANKRD49	Ankrd49
MORN3	MORN3	Morn3
OR10AC1	None	Olfr455
LY9	None	Ly9
KCNIP3	KCNIP3	Kcnip3
FAM122B	FAM122B	Fam122b
LYPLA2	LYPLA2	Lypla2
PRDX4	PRDX4	Prdx4
MOB4	HSPE1	Mob4
MYOZ3	MYOZ3	Myoz3
APOLD1	APOLD1	Apold1
REC114	None	Rec114
CDCA5	CDCA5	Cdca5
SYCP3	SYCP3	Sycp3
INO80E	INO80E	Ino80e
OR6S1	None	Olfr750
BCL2L1	BCL2L1	Bcl2l1
RPE	RPE	Rpe
OR2F2	None	Olfr452
OR51Q1	None	Olfr635
BBC3	BBC3	None
OR9A4	OR9A4	Olfr460
SFXN4	SFXN4	Sfxn4
OCEL1	OCEL1	Ocel1
TNNT1	None	Tnnt1
MMP26	MMP26	None
RBM38	RBM38	Rbm38
TMEM187	TMEM187	None
OR52B4	None	Olfr547
RAB23	RAB23	Rab23
ENDOG	None	Endog
OR56B1	None	Olfr657
KHK	None	Khk
KCNIP1	KCNIP1	Kcnip1
SLC25A10	None	Slc25a10
TEX13B	TEX13B	None
TMEM179	TMEM179	Tmem179
NAA60	None	Naa60
LILRA5	None	Lilra5
MRPL9	MRPL9	Mrpl9
ARL10	ARL10	Arl10
CD300LG	CD300LG	Cd300lg
CLDN23	CLDN23	Cldn23
NKX6-3	None	Nkx6-3
R3HDM4	R3HDM4	R3hdm4
PAFAH1B2	PAFAH1B2	Pafah1b2
CDC34	CDC34	Cdc34
GZMK	GZMK	Gzmk
UBXN2A	UBXN2A	Ubxn2a
OR5M11	None	Olfr1028
TMEM86A	TMEM86A	Tmem86a
PRSS58	PRSS58	Prss58
PEX11B	PEX11B	Pex11b
LYPD5	LYPD5	Lypd5
RHOV	RHOV	Rhov
ORC6	ORC6	Orc6
PSMB6	PSMB6	Psmb6
PIGL	PIGL	Pigl
RS1	RS1	Rs1
None	None	None
ZFAND3	ZFAND3	Zfand3
EFNA5	EFNA5	Efna5
INMT	INMT	Inmt
TRIM40	TRIM40	Trim40
MRTO4	MRTO4	Mrto4
TAS2R46	None	None
OR56A5	None	Olfr683
TVP23C	CDRT4	None
MOG	MOG	Mog
BCL2	BCL2	Bcl2
MDFI	MDFI	Mdfi
ZNF511	ZNF511	Zfp511
None	ING1	Ing1
GLT6D1	GLT6D1	Glt6d1
AQP1	None	Aqp1
TMEM81	TMEM81	Tmem81
TPK1	TPK1	Tpk1
TPSB2	None	Tpsb2
TMEM116	TMEM116	Tmem116
RITA1	None	Rita1
CD151	None	Cd151
DCK	DCK	Dck
LDLRAD2	LDLRAD2	Ldlrad2
OR6C68	None	Olfr780
ERAS	ERAS	Eras
TLCD2	TLCD2	Tlcd2
AK2	AK2	Ak2
HDHD3	HDHD3	Hdhd3
TAS2R41	TAS2R41	Tas2r126
TAS2R20	TAS2R20	None
NUDT21	NUDT21	Nudt21
OR51F2	None	Olfr568
STMND1	STMND1	Stmnd1
PDCL2	PDCL2	Pdcl2
KCNMB3	KCNMB3	Kcnmb3
RFNG	None	Rfng
COQ4	COQ4	Coq4
NMNAT3	RBP1	Nmnat3
TMED9	TMED9	Tmed9
THAP8	THAP8	None
UBTD1	UBTD1	Ubtd1
BCAS2	BCAS2	Bcas2
OR5AU1	None	Olfr221
YEATS4	YEATS4	Yeats4
C1QTNF3	None	C1qtnf3
TGIF2	TGIF2	Tgif2
OR8D2	None	Olfr924
GID8	GID8	Gid8
PSMB1	PSMB1	Psmb1
NCR1	NCR1	Ncr1
THAP10	THAP10	None
OR1L8	None	Olfr355
TMED6	TMED6	Tmed6
OR4A15	None	Olfr1234
CWC15	CWC15	Cwc15
None	None	None
CLNS1A	CLNS1A	Clns1a
RND1	RND1	Rnd1
HLA-DPA1	None	None
COLEC11	None	Colec11
TMIGD1	TMIGD1	Tmigd1
METTL7B	METTL7B	Mettl7b
None	MAMU-DRA	None
TLCD1	TLCD1	Tlcd1
OR4C15	None	Olfr1211
RBM24	RBM24	Rbm24
LENG1	LENG1	Leng1
FADS6	None	Fads6
RNF114	RNF114	Rnf114
GEMIN8	GEMIN8	Gemin8
LDOC1L	LDOC1L	Ldoc1l
SYF2	SYF2	Syf2
ETFB	ETFB	Etfb
C1orf43	None	None
OR2V2	None	Olfr1396
MRPS18B	MRPS18B	Mrps18b
MYOZ2	MYOZ2	Myoz2
TAS2R1	TAS2R1	Tas2r119
OR5M10	None	Olfr1023
ZNF22	ZNF22	Zfp422
GIMAP1	GIMAP1	Gimap1
UBE2J2	None	Ube2j2
OR1P1	None	Olfr59
ASCL1	ASCL1	Ascl1
PAFAH1B3	PAFAH1B3	Pafah1b3
KLK2	KLK2	Klk1b1
RAB33B	RAB33B	Rab33b
CMBL	CMBL	Cmbl
FAM109B	None	Fam109b
FAM221A	FAM221A	Fam221a
MSX2	MSX2	Msx2
SYNDIG1L	SYNDIG1L	Syndig1l
CLDN10	CLDN10	Cldn10
GFRA4	GFRA4	Gfra4
HOXC5	HOXC5	Hoxc5
NFU1	NFU1	Nfu1
OR4C46	None	None
OR5M8	None	Olfr1031
TTC9B	TTC9B	Ttc9b
RGS18	RGS18	Rgs18
None	GSTT1	Gstt1
ZC4H2	ZC4H2	Zc4h2
GIMAP6	GIMAP6	Gimap6
NDUFV2	None	Ndufv2
CYB561A3	None	Cyb561a3
UNC119	None	Unc119
LHFPL3	LHFPL3	Lhfpl3
LILRB2	None	None
BSX	BSX	Bsx
CD99L2	CD99L2	Cd99l2
FAM120AOS	FAM120AOS	None
None	None	Olfr605
LRRC57	LRRC57	Lrrc57
SRD5A1	SRD5A1	Srd5a1
SLC25A45	SLC25A45	Slc25a45
BATF2	BATF2	Batf2
RNF133	None	Rnf133
FGF8	FGF8	Fgf8
None	None	Olfr166
ALKBH6	ALKBH6	Alkbh6
IGFBP1	IGFBP1	Igfbp1
C2orf49	C2orf49	None
C1QB	C1QB	C1qb
ITLN2	ITLN2	None
OR4A5	None	Olfr1238
PRSS29P	None	Prss29
BCL10	BCL10	Bcl10
OR4C12	None	Olfr1259
HLA-DRA	None	None
OR4F29	None	Olfr1303
SOCS3	SOCS3	Socs3
IL1B	IL1B	Il1b
RPS4Y2	None	None
NRIP3	NRIP3	Nrip3
OR10A3	None	Olfr518
CFD	CFD	Cfd
KLK1	KLK1	Klk1
CLDN14	CLDN14	Cldn14
CCDC28A	CCDC28A	None
ATP6V1E1	ATP6V1E1	Atp6v1e1
RABL3	RABL3	Rabl3
CYB5D1	CYB5D1	Cyb5d1
OR2D2	OR2D2	Olfr715
None	None	Gm13420
OR4C3	None	Olfr1264
GSTO1	GSTO1	Gsto1
DERL3	DERL3	Derl3
GMNC	GMNC	Gmnc
RND2	RND2	Rnd2
ODF3	ODF3	Odf3
ZNRF1	ZNRF1	Znrf1
BCCIP	BCCIP	Bccip
C1QC	C1QC	C1qc
TSN	TSN	Tsn
LYPLA1	LYPLA1	Lypla1
NTMT1	NTMT1	Ntmt1
LOC102725191	None	None
CACYBP	CACYBP	Cacybp
FGF3	FGF3	Fgf3
COMT	COMT	Comt
TNNT3	TNNT3	Tnnt3
ADIPOQ	ADIPOQ	Adipoq
CCDC90B	CCDC90B	Ccdc90b
CCDC107	CCDC107	Ccdc107
INSIG2	INSIG2	Insig2
CRELD2	None	Creld2
None	None	Hyal6
TAS2R30	TAS2R46	None
C17orf78	C17orf78	Gm11437
None	None	Sec1
CHMP4C	CHMP4C	Chmp4c
SIGMAR1	SIGMAR1	Sigmar1
FAM3C	FAM3C	Fam3c
CD9	CD9	Cd9
TMED5	TMED5	Tmed5
CDCA4	CDCA4	Cdca4
SRSF9	SRSF9	Srsf9
NCR2	NCR2	None
SYNGR3	SYNGR3	Syngr3
MOB3B	MOB3B	Mob3b
OR51C1P	None	Olfr560
TMEM182	TMEM182	Tmem182
OR6C65	None	Olfr808
OR52J3	None	Olfr592
LHFPL2	LHFPL2	Lhfpl2
WBSCR28	None	Wbscr28
LRAT	LRAT	Lrat
GAP43	GAP43	Gap43
RAB3A	RAB3A	Rab3a
OR7A17	None	Olfr57
PCMT1	PCMT1	Pcmt1
TIMP4	TIMP4	Timp4
QDPR	QDPR	Qdpr
CLEC7A	CLEC7A	Clec7a
DHRS11	None	Dhrs11
CRYBB1	CRYBB1	Crybb1
CLIC3	CLIC3	Clic3
TSPAN19	TSPAN19	None
LYPD4	LYPD4	Lypd4
PTCRA	PTCRA	Ptcra
AIG1	AIG1	Aig1
RAD51D	None	Rad51d
CRYZ	None	Cryz
TMEM98	TMEM98	Tmem98
C1QL4	C1QL4	C1ql4
BNIP1	BNIP1	Bnip1
RGS9BP	RGS9BP	Rgs9bp
GJB2	GJB2	Gjb2
TEX30	TEX30	Tex30
IL1A	IL1A	Il1a
UCHL3	UCHL3	Uchl3
RPUSD1	None	Rpusd1
OAZ1	None	Oaz1
SPC25	SPC25	Spc25
GTPBP6	None	Gtpbp6
PPAP2C	None	Ppap2c
RYBP	None	Rybp
CELA1	CELA1	Cela1
SERTAD1	SERTAD1	Sertad1
OR52R1	None	Olfr569
CSNK2B	None	Csnk2b
OAZ3	OAZ3	Oaz3
PRKCDBP	PRKCDBP	Prkcdbp
PDYN	PDYN	Pdyn
RAB3C	RAB3C	Rab3c
FAM213A	FAM213A	Fam213a
PRR18	PRR18	Prr18
LHFPL1	LHFPL1	Lhfpl1
SNRPB2	SNRPB2	Snrpb2
NSMCE1	None	Nsmce1
ELSPBP1	ELSPBP1	None
GRB2	GRB2	Grb2
LHFPL5	LHFPL5	Lhfpl5
C6orf25	None	G6b
REEP2	REEP2	Reep2
TPSAB1	None	Tpsab1
CCDC71L	CCDC71L	Ccdc71l
DCUN1D2	None	Dcun1d2
MOSPD3	MOSPD3	Mospd3
WDR88	None	Wdr88
PRTFDC1	PRTFDC1	None
CLDN19	CLDN19	Cldn19
MOB3C	MOB3C	Mob3c
OR8K3	None	Olfr1047
FCER1A	FCER1A	Fcer1a
FAM58A	FAM58A	Fam58b
CXorf56	None	None
KIR3DX1	None	None
CA4	CA4	Car4
OR56B2P	None	Olfr661
TMEM215	TMEM215	Tmem215
SCNM1	SCNM1	Scnm1
CLDN2	CLDN2	Cldn2
TMEM174	TMEM174	Tmem174
TMEM147	None	Tmem147
SRSF2	SRSF2	Srsf2
DRAM1	DRAM1	Dram1
TMED1	TMED1	Tmed1
HSCB	HSCB	Hscb
KLK11	KLK11	Klk11
CHMP4B	CHMP4B	Chmp4b
TAS2R31	None	None
TK1	TK1	Tk1
UQCRFS1P1	None	None
THAP2	THAP2	Thap2
PSMD10	PSMD10	Psmd10
HOXB6	HOXB6	Hoxb6
CCDC134	CCDC134	Ccdc134
OR1J4	OR1J4	Olfr350
C7orf62	None	None
RNF223	RNF223	Rnf223
LTB	None	Ltb
HAUS2	HAUS2	Haus2
MOB1A	MOB1A	Mob1a
MOB1B	None	Mob1b
CRLS1	None	Crls1
ERCC1	None	Ercc1
RIT1	RIT1	Rit1
WBP2NL	WBP2NL	Wbp2nl
CELA2B	CELA2B	Cela2a
MAGEH1	MAGEH1	Mageh1
CENPH	CENPH	Cenph
TPM4	TPM4	Tpm4
TNFSF8	TNFSF8	Tnfsf8
RAB12	None	Rab12
CLTB	CLTB	Cltb
OR2C1	None	Olfr15
EEF1B2	EEF1B2	Eef1b2
TPGS2	TPGS2	Tpgs2
BCL2L12	BCL2L12	Bcl2l12
CASP12	None	None
CHMP2A	CHMP2A	Chmp2a
NRL	NRL	Nrl
C11orf53	None	None
OR52E6	None	Olfr675
ANKRD66	ANKRD66	Ankrd66
HELT	HELT	Helt
RAB39A	RAB39A	Rab39
PRSS33	PRSS33	Prss33
FNDC9	FNDC9	Fndc9
ZCCHC17	ZCCHC17	Zcchc17
ZFYVE21	ZFYVE21	Zfyve21
ATG101	C12orf44	Atg101
OR5A2	None	Olfr1438-ps1
CNPY4	CNPY4	Cnpy4
MLF1	MLF1	Mlf1
None	IKBIP	Ikbip
OR5D18	None	Olfr73
None	None	None
TIMP3	TIMP3	Timp3
MARC1	None	Marc1
HOXA7	HOXA7	Hoxa7
C9orf171	None	1700101E01Rik
OR5D16	None	Olfr1155
PRSS37	PRSS37	Prss37
ANKRD30BL	None	None
PDF	PDF	Pdf
RELL1	RELL1	Rell1
RPL10	RPL10	Rpl10
MRO	MRO	Mro
DCAKD	DCAKD	Dcakd
COQ10B	COQ10B	Coq10b
TMEM8C	None	Tmem8c
EXOSC5	EXOSC5	Exosc5
RNF125	RNF125	Rnf125
CBX7	CBX7	Cbx7
OR1K1	OR1K1	Olfr1324
MYCT1	MYCT1	Myct1
PRELID1	PRELID1	Prelid1
PSMB8	None	Psmb8
NXF2	None	Nxf7
C4BPB	C4BPB	None
FAM204A	FAM204A	Fam204a
CHIC1	CHIC1	Chic1
GNB1L	None	Gnb1l
ZFAND1	ZFAND1	Zfand1
PDLIM2	None	Pdlim2
EMD	EMD	Emd
EID2	EID2	Eid2
TMED4	TMED4	Tmed4
LURAP1	LURAP1	Lurap1
PRL	PRL	Prl
GUCD1	None	Gucd1
APOBEC1	APOBEC1	Apobec1
None	None	Upk3bl
HAVCR2	HAVCR2	Havcr2
MESP1	MESP1	Mesp1
CGREF1	CGREF1	Cgref1
SSMEM1	None	Ssmem1
HPRT1	HPRT1	Hprt
NEURL3	None	Neurl3
SLA	SLA	Sla
CBR4	CBR4	Cbr4
EXOSC6	None	Exosc6
PRRG3	PRRG3	Prrg3
None	None	None
OR10J3	None	Olfr218
None	None	Btnl2
ZFAND5	ZFAND5	Zfand5
CT55	None	4933416I08Rik
UCHL1	UCHL1	Uchl1
FTSJ2	None	Ftsj2
RAB20	RAB20	Rab20
CCDC124	CCDC124	Ccdc124
CCDC50	None	Ccdc50
MRGPRG	MRGPRG	Mrgprg
OR10AD1	None	Olfr287
CELA3A	None	None
PDCL3	PDCL3	Pdcl3
LRRN4CL	LRRN4CL	Lrrn4cl
MXD1	MXD1	Mxd1
CABP7	CABP7	Cabp7
OR52I2	None	Olfr556
AK3	AK3	Ak3
RAN	RAN	Ran
CHMP5	CHMP5	Chmp5
TMEM74B	TMEM74B	Tmem74b
ZNF346	None	Zfp346
HAND2	HAND2	Hand2
PPAP2A	PPAP2A	Ppap2a
TMEM65	TMEM65	Tmem65
C2orf61	None	None
ZNF575	ZNF575	Zfp575
OR10X1	None	Olfr417
IGFBP6	IGFBP6	Igfbp6
TEX264	None	Tex264
MYOG	MYOG	Myog
HMGB1	HMGB1	Hmgb1
VPS28	VPS28	Vps28
OR11G2	None	Olfr744
TMX1	TMX1	Tmx1
None	None	Gm5294
FAM71C	FAM71C	None
RGS17	RGS17	Rgs17
EIF4E3	EIF4E3	Eif4e3
UBXN8	UBXN8	Ubxn8
PBDC1	PBDC1	Pbdc1
KCNK16	KCNK16	Kcnk16
SLC50A1	SLC50A1	Slc50a1
FCGR3A	None	Fcgr4
CHAC1	CHAC1	Chac1
IYD	IYD	Iyd
MRPL2	None	Mrpl2
C1QTNF8	C1QTNF8	None
TYW3	TYW3	Tyw3
SPDYE16	None	None
MESDC2	MESDC2	Mesdc2
C4orf50	None	None
MTG1	None	Mtg1
OR2AG2	None	Olfr706
RAB21	RAB21	Rab21
FCAR	FCAR	None
DCXR	DCXR	Dcxr
RPL10A	RPL10A	Rpl10a
LGALS3	LGALS3	Lgals3
DIABLO	DIABLO	Diablo
NECAP2	NECAP2	Necap2
CASP7	None	Casp7
RIT2	RIT2	Rit2
REEP3	None	Reep3
SCN4B	SCN4B	Scn4b
CLDN6	CLDN6	Cldn6
CIDEC	CIDEC	Cidec
GINS4	GINS4	Gins4
TPRX1	TPRX1	None
RSPO4	RSPO4	Rspo4
KLK3	KLK3	Klk1b11
None	None	None
KCTD11	KCTD11	Kctd11
